"theme_name","set_name","set_year","unique_part","parts"
"12V","Remote Controlled Signal 12v","1980","Unique","2"
"12V","Steam Engine","1980","Not Unique","94"
"12V","Steam Engine","1980","Unique","1"
"12V","Steam Locomotive","1969","Not Unique","29"
"12V","Steam Locomotive","1969","Unique","1"
"12V","Train with 12V Electric Motor","1969","Not Unique","61"
"12V","Train with 12V Electric Motor","1969","Unique","6"
"12V","Transformer / Controller 12V","1980","Not Unique","17"
"12V","Transformer / Controller 12V","1980","Unique","3"
"4 Juniors","Picture Frame and Mirror","1980","Not Unique","5"
"4 Juniors","Picture Frame and Mirror","1980","Unique","5"
"4.5V","2 Cross Rails, 8 Straight Tracks, 4 Base Plates","1967","Not Unique","3"
"4.5V","2 Signals with Automatic Stop / Go Attachment","1968","Not Unique","4"
"4.5V","4.5V Battery Case","1966","Not Unique","1"
"4.5V","4.5V Battery Case","1969","Not Unique","1"
"4.5V","4.5V Motor Set","1968","Not Unique","9"
"4.5V","4.5V Motor with Wheels (Large Version)","1966","Not Unique","9"
"4.5V","4.5V Motor with Wheels (Small Version)","1966","Not Unique","10"
"4.5V","8 Curved Rails Gray 4.5v","1980","Not Unique","3"
"4.5V","8 Straight Rails Gray 4.5v","1980","Not Unique","2"
"4.5V","Automatic Direction Changer","1969","Not Unique","4"
"4.5V","Battery Box","1976","Not Unique","1"
"4.5V","Battery Wagon with Signal and Direction - Changing","1972","Not Unique","6"
"4.5V","Cargo Station","1978","Not Unique","50"
"4.5V","Cargo Wagon","1977","Not Unique","43"
"4.5V","Central Station","1975","Not Unique","49"
"4.5V","Complete Freight Train Set with Tipper Trucks","1969","Not Unique","37"
"4.5V","Complete Freight Train Set with Tipper Trucks","1969","Unique","1"
"4.5V","Complete Train Set with Motor and Signal","1976","Not Unique","55"
"4.5V","Complete Train Set with Motor, Signals and Switch","1972","Not Unique","47"
"4.5V","Complete Train Set Without Motor","1972","Not Unique","36"
"4.5V","Crane Wagon","1985","Not Unique","61"
"4.5V","Crane Wagon with Small Container","1980","Not Unique","46"
"4.5V","Crossing, Gray 4.5v","1980","Not Unique","1"
"4.5V","Crossing, Gray 4.5v","1980","Unique","1"
"4.5V","Crossover, Straight Rails","1976","Not Unique","3"
"4.5V","Curved Track","1966","Not Unique","6"
"4.5V","Curved Track","1976","Not Unique","1"
"4.5V","Curved Track","1976","Unique","2"
"4.5V","Deluxe Motorized Train Set","1968","Not Unique","53"
"4.5V","Deluxe Motorized Train Set","1968","Unique","1"
"4.5V","Diesel Freight Train Set, battery","1980","Not Unique","106"
"4.5V","Electronic Control Unit (Forward - Stop)","1969","Not Unique","6"
"4.5V","Electronic Control Unit (Forward/Backward - Stop)","1969","Not Unique","6"
"4.5V","Electronic Train","1968","Not Unique","35"
"4.5V","Electronic Train","1969","Not Unique","34"
"4.5V","Flat Wagon","1978","Not Unique","17"
"4.5V","Freight Loading Depot with Wagon","1983","Not Unique","93"
"4.5V","Freight Loading Depot with Wagon","1983","Unique","1"
"4.5V","Fuel Refinery","1976","Not Unique","64"
"4.5V","Fuel Refinery","1976","Unique","1"
"4.5V","Goods Wagon","1969","Not Unique","15"
"4.5V","Goods Wagon","1969","Unique","1"
"4.5V","Large Train Wagon","1966","Not Unique","6"
"4.5V","Left and Right Points Manual Gray 4.5v","1980","Not Unique","4"
"4.5V","Left and Right Points Manual Gray 4.5v","1980","Unique","2"
"4.5V","Level Crossing","1976","Not Unique","31"
"4.5V","Loading Ramp and Car Transport Wagon","1978","Not Unique","44"
"4.5V","Loco and Tender","1969","Not Unique","33"
"4.5V","Loco and Tender","1969","Unique","1"
"4.5V","Locomotive (Push)","1975","Not Unique","26"
"4.5V","Locomotive with Motor","1966","Not Unique","25"
"4.5V","Locomotive without Motor","1967","Not Unique","29"
"4.5V","Locomotive without Motor","1977","Not Unique","48"
"4.5V","Magnetic Couplings","1968","Not Unique","2"
"4.5V","Manual Road Crossing","1985","Not Unique","52"
"4.5V","Mobile Crane (Plate Base)","1971","Not Unique","22"
"4.5V","Mobile Crane (Train Base)","1972","Not Unique","16"
"4.5V","Mobile Crane and Waggon","1975","Not Unique","21"
"4.5V","Motorized Freight or Passenger Train (Sears Exclusive)","1969","Not Unique","73"
"4.5V","Motorized Train Set","1966","Not Unique","37"
"4.5V","Motorized Train Set","1966","Unique","3"
"4.5V","Overhead Gantry and Lighting Maintenance Wagon","1983","Not Unique","42"
"4.5V","Passenger Carriage","1980","Not Unique","42"
"4.5V","Passenger Carriage / Sleeper","1983","Not Unique","52"
"4.5V","Passenger Carriage / Sleeper","1983","Unique","2"
"4.5V","Passenger Coach","1969","Not Unique","16"
"4.5V","Passenger Coach","1969","Unique","1"
"4.5V","Passenger Coach","1972","Not Unique","15"
"4.5V","Passenger Sleeping Car","1975","Not Unique","15"
"4.5V","Passenger Wagon","1978","Not Unique","37"
"4.5V","Passenger Wagon","1978","Unique","1"
"4.5V","Port Crane and Flat Waggon","1972","Not Unique","23"
"4.5V","Push-Along Passenger Steam Train","1980","Not Unique","85"
"4.5V","Push-Along Passenger Steam Train","1980","Unique","2"
"4.5V","Push-Along Passenger Steam Train","1985","Not Unique","96"
"4.5V","Push-Along Passenger Steam Train","1985","Unique","1"
"4.5V","Push-Along Steam Engine","1980","Not Unique","43"
"4.5V","Push-Along Steam Engine","1980","Unique","1"
"4.5V","Push Along Play Train","1972","Not Unique","25"
"4.5V","Railroad Crossing Gate","1969","Not Unique","4"
"4.5V","Railway Station","1980","Not Unique","62"
"4.5V","Railway Station","1983","Not Unique","130"
"4.5V","Refrigerated Car with Forklift","1976","Not Unique","35"
"4.5V","Refrigerated Car with Forklift","1976","Unique","1"
"4.5V","Replacement 4.5V Motor","1970","Not Unique","1"
"4.5V","Shell Tanker Wagon","1980","Not Unique","32"
"4.5V","Shell Tanker Wagon","1986","Not Unique","37"
"4.5V","Shell Tanker Wagon","1986","Unique","1"
"4.5V","Small Train Set","1966","Not Unique","23"
"4.5V","Small Train Set","1968","Not Unique","21"
"4.5V","Starter Train Set with Motor","1966","Not Unique","27"
"4.5V","Starter Train Set with Motor","1967","Not Unique","57"
"4.5V","Starter Train Set without Motor","1966","Not Unique","21"
"4.5V","Steam Cargo Train, battery","1985","Not Unique","143"
"4.5V","Steam Locomotive (Push)","1970","Not Unique","19"
"4.5V","Steam Locomotive (Push)","1970","Unique","1"
"4.5V","Straight Track","1966","Not Unique","4"
"4.5V","Straight Track","1976","Not Unique","2"
"4.5V","Super Train Set","1968","Not Unique","75"
"4.5V","Switch Track - 1 Right and 1 Left","1967","Not Unique","2"
"4.5V","Switch Track - 1 Right and 1 Left","1967","Unique","1"
"4.5V","Tanker Waggon (Shell)","1975","Not Unique","24"
"4.5V","Tipping Wagon","1969","Not Unique","10"
"4.5V","Train Set","1969","Not Unique","57"
"4.5V","Train Set with Signal","1975","Not Unique","64"
"4.5V","Train with 5 Wagons and Circle of Track","1972","Not Unique","65"
"4.5V","Two Train Wagons","1966","Not Unique","6"
"4.5V","Wagon with Double Tippers","1972","Not Unique","8"
"9V","9V Train Switching Track Collection","2006","Not Unique","5"
"9V","9V Train Track Starter Collection","2006","Not Unique","3"
"9V","Blue Hopper Car","1991","Not Unique","48"
"9V","Burlington Northern Santa Fe Locomotive","2004","Not Unique","100"
"9V","Car Transport Wagon with Car","1994","Not Unique","70"
"9V","Cargo Crane","1995","Not Unique","139"
"9V","Cargo Railway","1996","Not Unique","191"
"9V","Cargo Railway","1996","Unique","2"
"9V","Cargo Station","1995","Not Unique","169"
"9V","Cargo Station","1995","Unique","1"
"9V","Classic Train","1998","Not Unique","101"
"9V","Classic Train","1998","Unique","1"
"9V","Club Car","1993","Not Unique","82"
"9V","Club Car","1993","Unique","3"
"9V","Container Double Stack","1993","Not Unique","168"
"9V","Crocodile Locomotive","1991","Not Unique","97"
"9V","Crocodile Locomotive","1991","Unique","1"
"9V","Curved Rails","1991","Not Unique","1"
"9V","Electric Train Motor 9V (My Own Train)","2002","Not Unique","2"
"9V","Freight and Crane Railway","1996","Not Unique","183"
"9V","Freight Loading Station","1999","Not Unique","99"
"9V","Freight Loading Station","1999","Unique","1"
"9V","Freight Rail Runner","1994","Not Unique","203"
"9V","Freight Rail Runner","1994","Unique","3"
"9V","Handcar","1998","Not Unique","17"
"9V","Handcar","1998","Unique","3"
"9V","Holiday Train","2006","Not Unique","222"
"9V","Holiday Train Starter Collection","2006","Not Unique","6"
"9V","Load and Haul Railroad","1991","Not Unique","149"
"9V","Manual Level Crossing","1991","Not Unique","51"
"9V","Manual Level Crossing","1996","Not Unique","60"
"9V","Manual Level Crossing","1996","Unique","1"
"9V","Manual Points","1991","Not Unique","4"
"9V","Manual Points","1991","Unique","1"
"9V","Metro Station","1991","Not Unique","178"
"9V","Metroliner","1991","Not Unique","187"
"9V","Metroliner","1991","Unique","2"
"9V","Octan Twin Tank Rail Tanker","1993","Not Unique","77"
"9V","Octan Twin Tank Rail Tanker","1993","Unique","1"
"9V","Rail and Road Service Truck","1999","Not Unique","67"
"9V","Rail Crossing","1999","Unique","1"
"9V","Railroad Tractor Flatbed","1991","Not Unique","94"
"9V","Railway Express","1999","Not Unique","193"
"9V","Railway Express with Transformer and Speed Regulator","1999","Not Unique","207"
"9V","Road and Rail Maintenance","1991","Not Unique","49"
"9V","Road and Rail Repair","1994","Not Unique","50"
"9V","Santa Fe Super Chief, Limited Edition","2002","Not Unique","120"
"9V","Santa Fe Super Chief, Limited Edition","2002","Unique","3"
"9V","Santa Fe Super Chief, NOT the Limited Edition","2002","Not Unique","122"
"9V","Straight Rails","1991","Not Unique","1"
"9V","Train Cars","1997","Not Unique","136"
"9V","Train Cars","1997","Unique","1"
"9V","Train Station","1996","Not Unique","196"
"9V","Train Station","1996","Unique","1"
"9V","Train Station","1999","Not Unique","102"
"9V","Train Track Snow Remover","1999","Not Unique","42"
"9V","Train Wash","1999","Not Unique","72"
"9V","Train Wash","1999","Unique","1"
"9V","Transformer and Speed Regulator","1991","Not Unique","3"
"9V","TTX Intermodal Double-Stack Car","2005","Not Unique","99"
"Advent","24-in-1 Holiday Countdown","2016","Not Unique","158"
"Advent","Advent Calendar 1999","1999","Not Unique","97"
"Advent","Advent Calendar 2000","2000","Not Unique","93"
"Advent Sub-Set","Advent Calendar 1999 (Day  1) Plane","1999","Not Unique","10"
"Advent Sub-Set","Advent Calendar 1999 (Day  2) Snowman","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day  3) Speedboat","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day  4) Girl","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day  5) Sailboat","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day  6) Reindeer","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day  7) Plane","1999","Not Unique","9"
"Advent Sub-Set","Advent Calendar 1999 (Day  8) Girl","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day  9) Fire Engine","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day 10) Santa Minifig","1999","Not Unique","5"
"Advent Sub-Set","Advent Calendar 1999 (Day 11) Dog","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day 12) Hippo","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day 13) Hovercraft","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day 14) Penguin","1999","Not Unique","7"
"Advent Sub-Set","Advent Calendar 1999 (Day 15) Elf","1999","Not Unique","9"
"Advent Sub-Set","Advent Calendar 1999 (Day 16) Seaplane","1999","Not Unique","9"
"Advent Sub-Set","Advent Calendar 1999 (Day 17) Gentleman","1999","Not Unique","10"
"Advent Sub-Set","Advent Calendar 1999 (Day 18) Elephant","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day 19) Sea Plane","1999","Not Unique","6"
"Advent Sub-Set","Advent Calendar 1999 (Day 20) Cow","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day 21) Police Car","1999","Not Unique","9"
"Advent Sub-Set","Advent Calendar 1999 (Day 22) Dog with Red Hat","1999","Not Unique","8"
"Advent Sub-Set","Advent Calendar 1999 (Day 23) Police Helicopter","1999","Not Unique","9"
"Advent Sub-Set","Advent Calendar 1999 (Day 24) Santa","1999","Not Unique","10"
"Advent Sub-Set","Advent Calendar 2000 (Day  1) Plane","2000","Not Unique","12"
"Advent Sub-Set","Advent Calendar 2000 (Day  2) Snowman","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day  3) Ship","2000","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2000 (Day  4) Boy","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day  5) Elephant","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day  6) Waterplane","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day  7) Giraffe","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day  8) Boat","2000","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2000 (Day  9) Duck","2000","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2000 (Day 10) Plane","2000","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2000 (Day 11) Elf","2000","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2000 (Day 12) Duck","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day 13) Boat","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 14) Rhinocerous","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day 15) Girl","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 16) Plane","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 17) Bull","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 18) Hovercraft","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 19) Christmas Bunny","2000","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2000 (Day 20) Jet","2000","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2000 (Day 21) Parrot","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day 22) Truck","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day 23) Helicopter","2000","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2000 (Day 24) Santa","2000","Not Unique","11"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  1) Cat","2001","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  2) Max","2001","Not Unique","1"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  3) Fireplace","2001","Not Unique","5"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  4) Santa","2001","Not Unique","10"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  5) Ambulance","2001","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  6) Penguin","2001","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  7) Tina","2001","Not Unique","1"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  8) Frog with Hat","2001","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day  9) Space Buggy","2001","Not Unique","11"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 10) Dinosaur","2001","Not Unique","5"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 11) Speedboat","2001","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 12) Reindeer","2001","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 13) Snowman","2001","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 14) Jet Ski","2001","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 15) Dog","2001","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 16) Police Boat","2001","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 17) Whale","2001","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 18) Space Shuttle","2001","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 19) Parrot","2001","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 20) Steamship","2001","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 21) Church","2001","Not Unique","8"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 22) Helicopter","2001","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 23) Christmas Tree","2001","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2001, Creator (Day 24) Present","2001","Not Unique","4"
"Advent Sub-Set","Advent Calendar 2012, City (Day  1) Fireman with Loudhailer","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day  6) Boy with Snowball","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day  9) Mechanic with Wrench","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day 10) Wheel Dolly with Wheels","2012","Not Unique","4"
"Advent Sub-Set","Advent Calendar 2012, City (Day 11) Firefighter's ATV without Wheels","2012","Not Unique","10"
"Advent Sub-Set","Advent Calendar 2012, City (Day 12) Female Firefighter","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 13) Desk with Computer and Chair","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day 14) Box with Burning Logs","2012","Not Unique","3"
"Advent Sub-Set","Advent Calendar 2012, City (Day 15) Wall with Safety Equipment","2012","Not Unique","12"
"Advent Sub-Set","Advent Calendar 2012, City (Day 16) Girl with Snowball","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 17) Catapult","2012","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2012, City (Day 18) Dog and Hydrant","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 19) Firefighter with Cup","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day 2) Chainsaw with Logs","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 20) Wheelbarrow with Spade and Snow","2012","Not Unique","7"
"Advent Sub-Set","Advent Calendar 2012, City (Day 21) Warning Lights and Sign","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 22) Santa's Sled","2012","Not Unique","6"
"Advent Sub-Set","Advent Calendar 2012, City (Day 23) Wrapped Gifts","2012","Not Unique","14"
"Advent Sub-Set","Advent Calendar 2012, City (Day 24) Santa on Snowmobile","2012","Not Unique","12"
"Advent Sub-Set","Advent Calendar 2012, City (Day 3) Christmas Tree","2012","Not Unique","10"
"Advent Sub-Set","Advent Calendar 2012, City (Day 4) Stairs and Star for Tree","2012","Not Unique","4"
"Advent Sub-Set","Advent Calendar 2012, City (Day 5) Wall with Fireman Equipment","2012","Not Unique","9"
"Advent Sub-Set","Advent Calendar 2012, City (Day 7) Toy Fire Engine with Remote","2012","Not Unique","15"
"Advent Sub-Set","Advent Calendar 2012, City (Day 8) Wall with Ski Equipment","2012","Not Unique","13"
"Adventurers","Adventurer's Accessories","1998","Not Unique","24"
"Agents","4-Wheeling Pursuit","2009","Not Unique","142"
"Agents","4-Wheeling Pursuit","2009","Unique","2"
"Agents","Aerial Defense Unit","2009","Not Unique","212"
"Agents","Aerial Defense Unit","2009","Unique","1"
"Agents","Gold Tooth's Getaway","2009","Not Unique","42"
"Agents","Gold Tooth's Getaway","2009","Unique","1"
"Agents","Mission 1: Jetpack Pursuit","2008","Not Unique","64"
"Agents","Mission 1: Jetpack Pursuit","2008","Unique","1"
"Agents","Mission 2: Swamp Raid","2008","Not Unique","128"
"Agents","Mission 2: Swamp Raid","2008","Unique","1"
"Agents","Mission 3: Gold Hunt","2008","Not Unique","161"
"Agents","Mission 3: Gold Hunt","2008","Unique","1"
"Agents","Mission 4: Speedboat Rescue","2008","Not Unique","170"
"Agents","Mission 4: Speedboat Rescue","2008","Unique","1"
"Agents","Mission 5: Turbocar Chase","2008","Not Unique","211"
"Agents","Mission 5: Turbocar Chase","2008","Unique","2"
"Agents","Mission 6: Mobile Command Center","2008","Not Unique","352"
"Agents","Mission 6: Mobile Command Center","2008","Unique","3"
"Agents","Mission 7: Deep Sea Quest","2008","Not Unique","206"
"Agents","Mission 7: Deep Sea Quest","2008","Unique","3"
"Agents","Mission 8: Volcano Base","2008","Not Unique","235"
"Agents","Mission 8: Volcano Base","2008","Unique","5"
"Agents","River Heist","2009","Not Unique","107"
"Agents","River Heist","2009","Unique","2"
"Agents","Robo Attack","2009","Not Unique","178"
"Agents","Robo Attack","2009","Unique","4"
"Agori","Atakus","2009","Not Unique","6"
"Agori","Atakus","2009","Unique","2"
"Agori","Berix","2009","Not Unique","9"
"Agori","Berix","2009","Unique","1"
"Agori","Metus","2009","Not Unique","7"
"Agori","Metus","2009","Unique","1"
"Agori","Raanu","2009","Not Unique","8"
"Agori","Raanu","2009","Unique","1"
"Agori","Tarduk","2009","Not Unique","7"
"Agori","Tarduk","2009","Unique","1"
"Agori","Zesk","2009","Not Unique","8"
"Agori","Zesk","2009","Unique","1"
"Airjitzu","Airjitzu Battle Grounds","2016","Not Unique","222"
"Airjitzu","Airjitzu Battle Grounds","2016","Unique","1"
"Airjitzu","Airjitzu Cole Flyer","2015","Not Unique","29"
"Airjitzu","Airjitzu Cole Flyer","2015","Unique","3"
"Airjitzu","Airjitzu Jay Flyer","2015","Not Unique","28"
"Airjitzu","Airjitzu Jay Flyer","2015","Unique","3"
"Airjitzu","Airjitzu Kai Flyer","2015","Not Unique","31"
"Airjitzu","Airjitzu Kai Flyer","2015","Unique","3"
"Airjitzu","Airjitzu Morro Flyer","2015","Not Unique","37"
"Airjitzu","Airjitzu Morro Flyer","2015","Unique","1"
"Airjitzu","Airjitzu Wrayth Flyer","2015","Not Unique","30"
"Airjitzu","Airjitzu Zane Flyer","2015","Not Unique","29"
"Airport","{Aeroplane}","1987","Not Unique","18"
"Airport","A.I.R. Operations HQ","2002","Not Unique","77"
"Airport","A.I.R. Operations HQ","2002","Unique","12"
"Airport","A.I.R. Patrol Jet","2002","Not Unique","30"
"Airport","A.I.R. Patrol Jet","2002","Unique","10"
"Airport","Aerial Acrobats","1993","Not Unique","167"
"Airport","Aerial Acrobats","1993","Unique","1"
"Airport","Aero Hawk","1993","Not Unique","34"
"Airport","Aero Hawk II","1994","Not Unique","58"
"Airport","Aeroplane","1964","Not Unique","11"
"Airport","Aeroplane","1972","Not Unique","18"
"Airport","Aeroplane","1985","Not Unique","9"
"Airport","Aeroplane","2001","Not Unique","12"
"Airport","Air Canada Jet Plane","1988","Not Unique","33"
"Airport","Air Canada Jet Plane","1988","Unique","6"
"Airport","Air Enforcer / Supercopter","1999","Not Unique","61"
"Airport","Air Enforcer / Supercopter","1999","Unique","1"
"Airport","Air Show Plane","2009","Not Unique","67"
"Airport","Aircraft","1991","Not Unique","63"
"Airport","Aircraft","1992","Not Unique","16"
"Airport","Aircraft","2004","Not Unique","96"
"Airport","Aircraft and Ground Crew","1998","Not Unique","78"
"Airport","Aircraft and Ground Crew","2001","Not Unique","78"
"Airport","Aircraft and Ground Crew","2001","Unique","2"
"Airport","Aircraft and Ground Support Equipment and Vehicle","1996","Not Unique","98"
"Airport","Aircraft and Ground Support Equipment and Vehicle","1996","Unique","1"
"Airport","Airline Maintenance Vehicle with Trailer","1996","Not Unique","49"
"Airport","Airline Maintenance Vehicle with Trailer","1996","Unique","1"
"Airport","Airline Promotional Set","2006","Not Unique","79"
"Airport","Airline Promotional Set - ANA limited edition","2008","Not Unique","79"
"Airport","Airliner","1994","Not Unique","16"
"Airport","Airplane","1965","Not Unique","28"
"Airport","Airplane","1985","Not Unique","20"
"Airport","Airplane","2003","Not Unique","20"
"Airport","Airplane","2007","Not Unique","21"
"Airport","Airplane Mechanic","2006","Not Unique","25"
"Airport","Airplanes","1961","Not Unique","23"
"Airport","Airport","1984","Not Unique","31"
"Airport","Airport","1984","Unique","3"
"Airport","Airport","1985","Not Unique","188"
"Airport","Airport","1985","Unique","1"
